bus_stop_id	service_names	service_count
1165	19, 20, 23, 38, 40	5
1166	19, 20, 23, 38, 40	5
1167	19, 20, 23, 38, 40	5
1168	11, 22	2
1169	11, 22	2
1170	21, 39, 41	3
1171	21, 39, 41	3
1172	11, 22	2
1173	11, 22	2
1174	21, 39, 41	3
1175	21, 39, 41	3
1176	21, 39, 41	3
1177	21, 39, 41	3
1178	11, 22	2
1179	21, 39, 41	3
1180	21, 39, 41	3
1181	21, 39, 41	3
1182	21, 39, 41	3
1183	19, 20, 23, 38, 40	5
1184	19, 20, 23, 38, 40	5
1185	11, 22	2
1186	30, 35, 37, 61	4
1187	30, 35, 37, 61	4
1188	30, 35, 37, 61	4
1189	30, 35, 37, 61	4
1190	30, 35, 37, 61	4
1191	30, 35, 37, 61	4
1192	20, 23, 40	3
1193	20, 40	2
1194	16, 19, 61	3
1195	15, 16, 19, 61	4
1196	19, 20, 23, 40	4
1197	19, 20, 23, 40	4
1198	11, 22	2
1199	11, 22	2
1200	19, 20, 23, 40	4
1201	19, 20, 23, 40	4
1202	11, 22	2
1203	11, 22	2
1204	11, 22	2
1205	11, 22	2
1206	11, 22	2
1207	16, 19, 61	3
1208	15, 16, 19, 61	4
1211	21, 39, 41	3
1212	21, 39, 41	3
1216	16, 19, 61	3
1217	21, 39, 41	3
1218	21, 39, 41	3
1219	21, 39, 41	3
1220	15, 16, 19, 61	4
1221	15, 16, 19, 61	4
1222	21, 39, 41	3
1223	21, 39, 41	3
1224	16, 19, 61	3
1225	15, 16, 19, 61	4
1228	30, 35, 37, 61	4
1229	30, 35, 37, 61	4
1233	30, 35, 37, 61	4
1234	30, 35, 37, 61	4
1235	30, 35, 37, 61	4
1236	28, 36	2
1237	10, 30, 2006	3
1238	10, 28, 30, 36, 6	5
1239	10, 28, 30, 36, 6	5
1240	10, 28, 30, 36, 6	5
1241	28	1
1242	28, 36	2
1245	28	1
1246	14, 28, 36, 38	4
1247	10, 30, 32, 6	4
1248	10, 30, 2006	3
1249	10, 30, 2006	3
1250	21, 39, 41	3
1251	15, 21, 39, 41	4
1252	21, 39, 41	3
1253	15, 21, 39, 41	4
1254	15, 16, 19, 61	4
1255	15, 16, 19, 61	4
1256	15, 16, 19, 61	4
1257	15, 16, 19, 61	4
1258	35, 37	2
1259	35, 37, 6	3
1260	35, 37	2
1261	35, 37, 6	3
1262	30	1
1265	15, 16, 19, 30, 6	5
1266	15, 16, 19, 61	4
1267	15, 16, 19, 6, 61	5
1268	35, 37	2
1269	35, 37, 6	3
1270	15, 16, 19, 61	4
1271	15, 16, 19, 6, 61	5
1272	18, 32, 42	3
1273	18, 32, 42	3
1274	10, 15, 16, 19, 28, 36	6
1275	10, 15, 16, 19, 28, 36	6
1276	18, 32, 42	3
1277	18, 32, 42	3
1278	18, 32, 42	3
1279	18, 32, 42	3
1280	10, 15, 16, 19, 28, 36	6
1281	10, 15, 16, 19, 28, 36	6
1282	18, 32, 42	3
1283	18, 32, 42	3
1284	21	1
1286	18, 32, 42	3
1287	18, 32, 42	3
1288	18, 32, 42	3
1289	18, 32, 42	3
1290	27	1
1291	27	1
1292	27	1
1293	27	1
1294	35, 37	2
1295	35, 37, 6	3
1296	35, 37	2
1297	35, 37	2
1298	35, 37	2
1299	35, 37, 6	3
1300	35, 37	2
1301	35, 37, 6	3
1302	40, 61	2
1303	15, 40, 61	3
1304	15, 40, 61	3
1305	40, 61	2
1306	40, 61	2
1307	15, 40, 61	3
